# 548 tests pass on cog but not on sunit-2026-04-20-jit-nojit
# columns: status	class	selector
error	DrTestsUITest	testSelectingPluginWillUpdateCurrentPluginInstanceVariable
error	DrTestsUITest	testSelectingPluginWillUpdatePackagesList
error	DrTestsUITest	testSelectingPluginWillUpdateWindowTitle
error	DrTestsUITest	testStartButtonHelpIsCurrentPluginStartButtonHelp
error	DrTestsUITest	testStartButtonLabelIsCurrentPluginStartButtonLabel
fail	EDDebuggingAPITest	testRevertTo
error	EmbeddedFreeTypeFontInstallerTest	testinstallAllFontsIn
error	EpAnnouncementsTest	testMonitorAnnouncesUpdateWhenDisabled
error	EpAnnouncementsTest	testMonitorAnnouncesUpdateWhenEnabled
error	EpAnnouncementsTest	testMonitorAnnouncesUpdateWhenRedundantlyDisabled
error	EpAnnouncementsTest	testMonitorAnnouncesUpdateWhenRedundantlyEnabled
error	EpApplyPreviewerTest	testBehaviorCommentChange
error	EpApplyPreviewerTest	testBehaviorNameChange
error	EpApplyPreviewerTest	testBehaviorRepackagedChange
error	EpApplyPreviewerTest	testClassAdditionWithClassRemoved
error	EpApplyPreviewerTest	testClassAdditionWithInstanceVariablesChanged
error	EpApplyPreviewerTest	testClassAdditionWithSuperclassChanged
error	EpApplyPreviewerTest	testClassRemovalWithClassAdded
error	EpApplyPreviewerTest	testKeepChangeWhenMethodAdditionWithAbsentBehavior
error	EpApplyPreviewerTest	testKeepChangeWhenMethodModificationWithAbsentBehavior
error	EpApplyPreviewerTest	testMethodAdditionWithMethodRemoved
error	EpApplyPreviewerTest	testMethodAdditionWithProtocolChanged
error	EpApplyPreviewerTest	testMethodAdditionWithSourceCodeChanged
error	EpApplyPreviewerTest	testMethodModificationWithMethodRemoved
error	EpApplyPreviewerTest	testMethodRemovalWithMethodAdded
error	EpApplyPreviewerTest	testNonCodeChangeEvent
error	EpApplyPreviewerTest	testPackageTagAdditionWithPackageTagRemoval
error	EpApplyPreviewerTest	testPackageTagRemovalWithPackageTagAddition
error	EpApplyPreviewerTest	testPackageTagRenameWithPreviousRollback
error	EpApplyPreviewerTest	testProtocolAdditionWithProtocolRemoved
error	EpApplyPreviewerTest	testProtocolRemovalWithProtocolAdded
error	EpApplyPreviewerTest	testRedundantBehaviorCommentChange
error	EpApplyPreviewerTest	testRedundantBehaviorCommentChangeWithAbsentBehavior
error	EpApplyPreviewerTest	testRedundantBehaviorRepackagedChange
error	EpApplyPreviewerTest	testRedundantBehaviorRepackagedChangeWithAbsentBehavior
error	EpApplyPreviewerTest	testRedundantClassAddition
error	EpApplyPreviewerTest	testRedundantClassRemoval
error	EpApplyPreviewerTest	testRedundantMethodAddition
error	EpApplyPreviewerTest	testRedundantMethodModification
error	EpApplyPreviewerTest	testRedundantMethodRemoval
